"LNGS Time","PUR_TE281_TFEOUTLET.PI","PUR_TE274_TPURITYMONITOR.PI","PUR_DPT288_PMON_A.PI"
"2020-02-08 11:05:05",-89.0180816650391,-89.1523590087891,52.8963088989258
"2020-02-08 11:05:15",-89.0241851806641,-89.1523590087891,48.6140251159668
"2020-02-08 11:05:25",-89.0180816650391,-89.1584625244141,52.1541213989258
"2020-02-08 11:05:35",-89.0119781494141,-89.1523590087891,53.9461326599121
"2020-02-08 11:05:45",-89.0119781494141,-89.1584625244141,50.0154113769531
"2020-02-08 11:05:55",-89.0363922119141,-89.1645660400391,50.9333992004395
"2020-02-08 11:06:05",-89.0241851806641,-89.1767730712891,50.2107238769531
"2020-02-08 11:06:15",-89.0241851806641,-89.1645660400391,50.1277160644531
"2020-02-08 11:06:25",-89.0180816650391,-89.1645660400391,50.2253723144531
"2020-02-08 11:06:35",-89.0241851806641,-89.1828765869141,48.9558219909668
"2020-02-08 11:06:45",-89.0424957275391,-89.1828765869141,48.3064079284668
"2020-02-08 11:06:55",-89.0363922119141,-89.1889801025391,51.6414070129395
"2020-02-08 11:07:05",-89.0424957275391,-89.1889801025391,49.5661926269531
"2020-02-08 11:07:15",-89.0485992431641,-89.2011871337891,51.1775398254395
"2020-02-08 11:07:25",-89.0485992431641,-89.2072906494141,50.9822273254395
"2020-02-08 11:07:35",-89.0608062744141,-89.2133941650391,51.9343872070313
"2020-02-08 11:07:45",-89.0730133056641,-89.2256011962891,50.1130676269531
"2020-02-08 11:07:55",-89.0730133056641,-89.2317047119141,51.0066413879395
"2020-02-08 11:08:05",-89.0791168212891,-89.2378082275391,49.4929428100586
"2020-02-08 11:08:15",-89.0791168212891,-89.2561187744141,50.9089851379395
"2020-02-08 11:08:25",-89.0913238525391,-89.2622222900391,50.9187507629395
"2020-02-08 11:08:35",-89.0974273681641,-89.2622222900391,52.1541213989258
"2020-02-08 11:08:45",-89.1035308837891,-89.2744293212891,51.4314460754395
"2020-02-08 11:08:55",-89.1035308837891,-89.2866363525391,52.5300979614258
"2020-02-08 11:09:05",-89.1218414306641,-89.2866363525391,49.8933410644531
"2020-02-08 11:09:15",-89.1157379150391,-89.3049468994141,50.8357429504395
"2020-02-08 11:09:25",-89.1401519775391,-89.3110504150391,52.2517776489258
"2020-02-08 11:09:35",-89.1462554931641,-89.3232574462891,50.6648330688477
"2020-02-08 11:09:45",-89.1401519775391,-89.3293609619141,50.5427627563477
"2020-02-08 11:09:55",-89.1462554931641,-89.3232574462891,52.0173950195313
"2020-02-08 11:10:05",-89.1523590087891,-89.3354644775391,46.7341156005859
"2020-02-08 11:10:15",-89.1523590087891,-89.3354644775391,51.4216804504395
"2020-02-08 11:10:25",-89.1523590087891,-89.3293609619141,50.6648330688477
"2020-02-08 11:10:35",-89.1645660400391,-89.3293609619141,52.6668167114258
"2020-02-08 11:10:45",-89.1645660400391,-89.3232574462891,53.0916290283203
"2020-02-08 11:10:55",-89.1523590087891,-89.3232574462891,51.1140632629395
"2020-02-08 11:11:05",-89.1706695556641,-89.3293609619141,50.5037002563477
"2020-02-08 11:11:15",-89.1706695556641,-89.3293609619141,46.8903656005859
"2020-02-08 11:11:25",-89.1645660400391,-89.3232574462891,49.5906066894531
"2020-02-08 11:11:35",-89.1767730712891,-89.3232574462891,50.0544738769531
"2020-02-08 11:11:45",-89.1706695556641,-89.3110504150391,52.7498245239258
"2020-02-08 11:11:55",-89.1645660400391,-89.3232574462891,50.6892471313477
"2020-02-08 11:12:05",-89.1523590087891,-89.3110504150391,49.9079895019531
"2020-02-08 11:12:15",-89.1523590087891,-89.3110504150391,50.6257705688477
"2020-02-08 11:12:25",-89.1706695556641,-89.3110504150391,50.4939346313477
"2020-02-08 11:12:35",-89.1645660400391,-89.3232574462891,51.8953247070313
"2020-02-08 11:12:45",-89.1645660400391,-89.3232574462891,50.8845710754395
"2020-02-08 11:12:55",-89.1523590087891,-89.3232574462891,51.3826179504395
"2020-02-08 11:13:05",-89.1523590087891,-89.3293609619141,49.5661926269531
"2020-02-08 11:13:15",-89.1645660400391,-89.3354644775391,49.5271224975586
"2020-02-08 11:13:25",-89.1767730712891,-89.3293609619141,50.6257705688477
"2020-02-08 11:13:35",-89.1889801025391,-89.3354644775391,50.4304504394531
"2020-02-08 11:13:45",-89.1706695556641,-89.3476715087891,52.6179885864258
"2020-02-08 11:13:55",-89.1889801025391,-89.3476715087891,47.7448654174805
"2020-02-08 11:14:05",-89.1889801025391,-89.3537750244141,50.7136611938477
"2020-02-08 11:14:15",-89.2011871337891,-89.3537750244141,51.7732543945313
"2020-02-08 11:14:25",-89.1950836181641,-89.3598785400391,47.2565841674805
"2020-02-08 11:14:35",-89.1889801025391,-89.3598785400391,50.7869148254395
"2020-02-08 11:14:45",-89.1950836181641,-89.3598785400391,50.2107238769531
"2020-02-08 11:14:55",-89.2011871337891,-89.3720855712891,49.5661926269531
"2020-02-08 11:15:05",-89.1950836181641,-89.3720855712891,51.7146492004395
"2020-02-08 11:15:15",-89.2011871337891,-89.3720855712891,50.1130676269531
"2020-02-08 11:15:25",-89.2011871337891,-89.3720855712891,50.4304504394531
"2020-02-08 11:15:35",-89.2133941650391,-89.3598785400391,50.5037002563477
"2020-02-08 11:15:45",-89.2133941650391,-89.3598785400391,48.4919548034668
"2020-02-08 11:15:55",-89.2133941650391,-89.3598785400391,50.8113288879395
"2020-02-08 11:16:05",-89.2133941650391,-89.3598785400391,49.1609001159668
"2020-02-08 11:16:15",-89.2133941650391,-89.3598785400391,50.5915908813477
"2020-02-08 11:16:25",-89.2133941650391,-89.3537750244141,48.233154296875
"2020-02-08 11:16:35",-89.2011871337891,-89.3598785400391,50.2351379394531
"2020-02-08 11:16:45",-89.2194976806641,-89.3476715087891,51.9832153320313
"2020-02-08 11:16:55",-89.2011871337891,-89.3537750244141,51.0164070129395
"2020-02-08 11:17:05",-89.2133941650391,-89.3476715087891,50.6892471313477
"2020-02-08 11:17:15",-89.2011871337891,-89.3476715087891,51.0798835754395
"2020-02-08 11:17:25",-89.2011871337891,-89.3354644775391,48.6628532409668
"2020-02-08 11:17:35",-89.2133941650391,-89.3354644775391,49.3464584350586
"2020-02-08 11:17:45",-89.1950836181641,-89.3354644775391,52.6033401489258
"2020-02-08 11:17:55",-89.1950836181641,-89.3293609619141,51.3484382629395
"2020-02-08 11:18:05",-89.2011871337891,-89.3110504150391,49.5173568725586
"2020-02-08 11:18:15",-89.2011871337891,-89.3232574462891,51.2507820129395
