time UTC,lifetime,anode_height,cathode_height,drift_time
2021-01-19 02:03:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:05:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:06:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:08:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:10:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:11:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:13:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:15:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:16:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:18:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:20:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:21:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:23:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:25:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:26:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:28:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:30:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:31:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:33:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:35:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:36:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:38:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:40:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:41:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:43:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:45:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:46:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:48:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:50:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:51:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:53:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:55:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:56:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 02:58:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:00:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:01:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:03:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:05:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:06:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:08:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:10:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:11:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:13:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:15:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:16:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:18:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:20:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:21:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:23:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:25:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:26:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:28:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:30:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:31:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:33:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:35:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:36:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:38:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:40:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:41:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:43:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:45:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:46:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:48:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:50:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:51:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:53:20+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:55:00+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:56:40+00:00,-1.0,-1.0,-1.0,-1.0
2021-01-19 03:58:20+00:00,-1.0,-1.0,-1.0,-1.0
