time UTC,venturi_dp,venturi_flow,pt286,pt289,venturi_deltaP
2021-04-15 10:30:00+00:00,96.7593002319336,2.051643498355453,4.560999393463135,4.125703811645508,0.43529558181762695
2021-04-15 10:46:40+00:00,95.07469177246094,2.033542079268902,4.5654706954956055,4.130964279174805,0.4345064163208008
2021-04-15 11:03:20+00:00,94.12254333496094,2.0232401009622016,4.553635120391846,4.125703811645508,0.4279313087463379
2021-04-15 11:20:00+00:00,93.92721557617188,2.021120278386845,4.556265354156494,4.128334045410156,0.4279313087463379
2021-04-15 11:36:40+00:00,94.13230895996094,2.023346026054727,4.562314510345459,4.128859996795654,0.4334545135498047
2021-04-15 11:53:20+00:00,92.60883331298828,2.006754326615033,4.562314510345459,4.132805824279785,0.42950868606567383
2021-04-15 12:10:00+00:00,96.9057846069336,2.0532100260676898,4.55705451965332,4.1296491622924805,0.42740535736083984
2021-04-15 12:26:40+00:00,94.65965270996094,2.02905784493527,4.564155578613281,4.131490230560303,0.4326653480529785
2021-04-15 12:43:20+00:00,96.7690658569336,2.0517479704085573,4.56889009475708,4.133594989776611,0.43529510498046875
2021-04-15 13:00:00+00:00,95.22117614746094,2.0351224127876915,4.558895587921143,4.134120941162109,0.4247746467590332
2021-04-15 13:16:40+00:00,96.08544921875,2.04442190588839,4.567574977874756,4.134909629821777,0.4326653480529785
2021-04-15 13:33:20+00:00,94.24461364746094,2.0245637699584615,4.564944744110107,4.128334045410156,0.43661069869995117
2021-04-15 13:50:00+00:00,92.83832550048828,2.0092623380672214,4.568100929260254,4.133594989776611,0.4345059394836426
2021-04-15 14:06:40+00:00,95.32859802246094,2.0362805516819638,4.56889009475708,4.134909629821777,0.43398046493530273
2021-04-15 14:23:20+00:00,96.9790267944336,2.0539928459624264,4.5654706954956055,4.132805824279785,0.4326648712158203
2021-04-15 14:40:00+00:00,97.6723861694336,2.0613889464862263,4.569416046142578,4.132805824279785,0.43661022186279297
2021-04-15 14:56:40+00:00,97.5649642944336,2.0602447941528204,4.560999393463135,4.124914646148682,0.4360847473144531
2021-04-15 15:13:20+00:00,91.85199737548828,1.998461127401225,4.562314510345459,4.128859996795654,0.4334545135498047
2021-04-15 15:30:00+00:00,98.99076843261719,2.0753801469040702,4.5596842765808105,4.123599529266357,0.4360847473144531
2021-04-15 15:46:40+00:00,98.0776596069336,2.0656998672608995,4.5596842765808105,4.127018928527832,0.4326653480529785
2021-04-15 16:03:20+00:00,95.81687927246094,2.041536614726868,4.5596842765808105,4.126229763031006,0.4334545135498047
2021-04-15 16:20:00+00:00,97.5893783569336,2.0605048840564417,4.56678581237793,4.126229763031006,0.44055604934692383
2021-04-15 16:36:40+00:00,98.90776062011719,2.0745019932895263,4.564944744110107,4.127018928527832,0.4379258155822754
2021-04-15 16:53:20+00:00,96.9643783569336,2.053836305636374,4.5596842765808105,4.125703811645508,0.43398046493530273
2021-04-15 17:10:00+00:00,97.8676986694336,2.0634676128065204,4.564155578613281,4.134120941162109,0.4300346374511719
2021-04-15 17:26:40+00:00,97.2964096069336,2.0573816548138835,4.560999393463135,4.12754487991333,0.4334545135498047
2021-04-15 17:43:20+00:00,97.0864486694336,2.055140447326172,4.561525821685791,4.130964279174805,0.43056154251098633
2021-04-15 18:00:00+00:00,100.22613525390625,2.0884060499528165,4.5596842765808105,4.133594989776611,0.4260892868041992
2021-04-15 18:16:40+00:00,97.9311752319336,2.0641427327231328,4.564155578613281,4.12754487991333,0.43661069869995117
2021-04-15 18:33:20+00:00,99.42047119140625,2.0799201704412633,4.555739402770996,4.120443344116211,0.43529605865478516
2021-04-15 18:50:00+00:00,100.03082275390625,2.0863520081029545,4.561525821685791,4.128334045410156,0.43319177627563477
2021-04-15 19:06:40+00:00,98.4048080444336,2.0691732750198577,4.5583696365356445,4.128859996795654,0.42950963973999023
2021-04-15 19:23:20+00:00,95.27976989746094,2.0357542058406666,4.557580471038818,4.128859996795654,0.42872047424316406
2021-04-15 19:40:00+00:00,98.3559799194336,2.0686552228815245,4.558895587921143,4.127018928527832,0.43187665939331055
2021-04-15 19:56:40+00:00,101.30036926269531,2.099667841063158,4.555739402770996,4.121758460998535,0.43398094177246094
2021-04-15 20:13:20+00:00,100.07965087890625,2.086865706408092,4.557580471038818,4.122284412384033,0.43529605865478516
2021-04-15 20:30:00+00:00,95.14793395996094,2.034332398077527,4.561525821685791,4.126229763031006,0.43529605865478516
2021-04-15 20:46:40+00:00,100.17730712890625,2.08789272724145,4.56678581237793,4.132279396057129,0.4345064163208008
2021-04-15 21:03:20+00:00,98.49272155761719,2.0701056878078794,4.563629627227783,4.12754487991333,0.4360847473144531
2021-04-15 21:20:00+00:00,99.71343994140625,2.0830099088411704,4.555739402770996,4.123599529266357,0.43213987350463867
2021-04-15 21:36:40+00:00,97.5991439819336,2.060608910909139,4.561525821685791,4.127018928527832,0.434506893157959
2021-04-15 21:53:20+00:00,97.8676986694336,2.0634676128065204,4.561525821685791,4.125703811645508,0.4358220100402832
2021-04-15 22:10:00+00:00,96.15869140625,2.0452080588228334,4.561525821685791,4.126229763031006,0.43529605865478516
2021-04-15 22:26:40+00:00,104.23011779785156,2.1300820622328938,4.556265354156494,4.121758460998535,0.434506893157959
2021-04-15 22:43:20+00:00,98.1850814819336,2.066841027065756,4.558895587921143,4.126229763031006,0.4326658248901367
2021-04-15 23:00:00+00:00,94.85496520996094,2.0311692947344886,4.551004886627197,4.119654655456543,0.4313502311706543
2021-04-15 23:16:40+00:00,103.1314468383789,2.1187272844955913,4.55495023727417,4.125703811645508,0.4292464256286621
