"LNGS Time","PUR_PT275_PPUMPOUTLET.PI","PUR_PT271_PHEOUTLET.PI","PUR_PT276_PPUMPOUTLET.PI","PUR_DPT288_PMON_A.PI","PUR_P271_P271_PUB_FMON.PI","PUR_P272_P272_PUB_FMON.PI","PUR_PCV287SET_AO.PI","PUR_FCV286SET_AO.PI","PUR_TE288_THEOUTLET.PI","PUR_TE272_TPUMPOUTLET.PI"
"2020-01-31 08:00:00",4.38740730285645,2.92029118537903,3.08073282241821,92.6332473754883,38,0,13,20,-95.512321472168,-95.164421081543
"2020-01-31 08:01:00",4.39135217666626,2.92160677909851,3.08283710479736,93.5707702636719,38,0,13,20,-97.2579498291016,-94.9202651977539
"2020-01-31 08:02:00",4.38530302047729,2.92239570617676,3.07810282707214,91.7396926879883,38,0,13,20,-96.1287841796875,-94.5540542602539
"2020-01-31 08:03:00",4.38398790359497,2.92502593994141,3.08020687103271,94.2055511474609,38,0,13,20,-94.7859878540039,-94.8287124633789
"2020-01-31 08:04:00",4.39266729354858,2.92029118537903,3.08415198326111,93.6586608886719,38,0,13,20,-95.371940612793,-95.274284362793
"2020-01-31 08:05:00",4.39187812805176,2.92371082305908,3.08336305618286,92.2035598754883,38,0,13,20,-96.2935791015625,-95.042350769043
"2020-01-31 08:06:00",4.38740730285645,2.92371082305908,3.07889175415039,94.3178558349609,38,0,13,20,-97.7706527709961,-94.6761245727539
"2020-01-31 08:07:00",4.38135766983032,2.92423677444458,3.08073282241821,90.3382873535156,38,0,13,20,-95.158317565918,-94.7432632446289
"2020-01-31 08:08:00",4.38793325424194,2.92239570617676,3.08152198791504,91.3148651123047,38,0,13,20,-95.036247253418,-95.140007019043
"2020-01-31 08:09:00",4.39003705978394,2.92371082305908,3.07889175415039,95.2797698974609,38,0,13,20,-96.8490142822266,-95.274284362793
"2020-01-31 08:10:00",4.38530302047729,2.92371082305908,3.07889175415039,91.4369354248047,38,0,13,20,-97.2884750366211,-94.5967788696289
"2020-01-31 08:11:00",4.3847770690918,2.91976499557495,3.07678771018982,92.6088333129883,38,0,13,20,-94.8042984008789,-94.944694519043
"2020-01-31 08:12:00",4.38609218597412,2.92029118537903,3.08073282241821,92.6918411254883,38,0,13,20,-95.475700378418,-95.182731628418
"2020-01-31 08:13:00",4.39003705978394,2.92029118537903,3.07678771018982,92.1547317504883,38,0,13,20,-97.4227523803711,-94.950798034668
"2020-01-31 08:14:00",4.38214683532715,2.91318964958191,3.07810282707214,91.9105911254883,38,0,13,20,-95.8541259765625,-94.6272964477539
"2020-01-31 08:15:00",4.38214683532715,2.91845011711121,3.08020687103271,92.2768020629883,38,0,13,20,-95.078971862793,-95.225456237793
"2020-01-31 08:16:00",4.38267278671265,2.9189760684967,3.07626175880432,92.5844192504883,38,0,13,20,-95.8297119140625,-95.231559753418
"2020-01-31 08:17:00",4.39056348800659,2.91845011711121,3.074946641922,93.4633483886719,38,0,13,20,-97.5814437866211,-94.6333999633789
"2020-01-31 08:18:00",4.38661813735962,2.91976499557495,3.07626175880432,93.1312942504883,38,0,13,20,-95.060661315918,-94.7554702758789
"2020-01-31 08:19:00",4.39056348800659,2.9189760684967,3.074946641922,94.0590515136719,38,0,13,20,-95.255973815918,-95.353630065918
"2020-01-31 08:20:00",4.39003705978394,2.92239570617676,3.08073282241821,91.6176223754883,38,0,13,20,-96.5072174072266,-95.494010925293
"2020-01-31 08:21:00",4.38609218597412,2.91766095161438,3.08020687103271,94.7426605224609,38,0,13,20,-97.1236724853516,-94.7066421508789
"2020-01-31 08:22:00",4.39056348800659,2.92239570617676,3.0754725933075,93.8393249511719,38,0,13,20,-94.8531265258789,-94.6272964477539
"2020-01-31 08:23:00",4.38530302047729,2.9189760684967,3.074946641922,92.2035598754883,38,0,13,20,-95.317008972168,-95.329216003418
"2020-01-31 08:24:00",4.38609218597412,2.91713500022888,3.0754725933075,94.2446136474609,38,0,13,20,-96.5438385009766,-95.140007019043
"2020-01-31 08:25:00",4.38740730285645,2.9189760684967,3.07810282707214,93.8051452636719,38,0,13,20,-96.7757720947266,-94.4869155883789
"2020-01-31 08:26:00",4.38661813735962,2.92239570617676,3.07626175880432,92.5209426879883,38,0,13,20,-94.7859878540039,-94.7493667602539
"2020-01-31 08:27:00",4.3847770690918,2.92160677909851,3.07626175880432,90.7289123535156,38,0,13,20,-95.170524597168,-95.091178894043
"2020-01-31 08:28:00",4.39056348800659,2.92502593994141,3.0754725933075,96.24658203125,38,0,13,20,-95.9029541015625,-95.085075378418
"2020-01-31 08:29:00",4.3847770690918,2.91581988334656,3.07757663726807,92.5600051879883,38,0,13,20,-97.6363754272461,-94.6272964477539
"2020-01-31 08:30:00",4.38083171844482,2.92029118537903,3.07626175880432,91.1439666748047,38,0,13,20,-94.963005065918,-94.7981948852539
"2020-01-31 08:31:00",4.38661813735962,2.92239570617676,3.08020687103271,94.1567230224609,38,0,13,20,-95.274284362793,-95.335319519043
"2020-01-31 08:32:00",4.38661813735962,2.92502593994141,3.07810282707214,95.95361328125,38,0,13,20,-96.3240966796875,-95.347526550293
"2020-01-31 08:33:00",4.38793325424194,2.92292189598083,3.08020687103271,94.7670745849609,38,0,13,20,-96.7025299072266,-94.5540542602539
"2020-01-31 08:34:00",4.38214683532715,2.91766095161438,3.07889175415039,91.0316619873047,38,0,13,20,-95.194938659668,-94.5723648071289
"2020-01-31 08:35:00",4.38398790359497,2.91845011711121,3.07678771018982,93.8295593261719,38,0,13,20,-95.085075378418,-95.182731628418
