"LNGS Time","PUR_PT275_PPUMPOUTLET.PI","PUR_PT271_PHEOUTLET.PI","PUR_PT276_PPUMPOUTLET.PI","PUR_DPT288_PMON_A.PI","PUR_P271_P271_PUB_FMON.PI","PUR_P272_P272_PUB_FMON.PI","PUR_PCV287SET_AO.PI","PUR_FCV286SET_AO.PI"
"2020-02-06 08:00:00",2.15569758415222,2.9045102596283,4.60755300521851,85.1380157470703,0,33,18,26
"2020-02-06 08:01:00",2.15964269638062,2.89609384536743,4.61412858963013,83.6487426757813,0,33,18,26
"2020-02-06 08:02:00",2.15569758415222,2.89530467987061,4.60755300521851,86.4075622558594,0,33,18,26
"2020-02-06 08:03:00",2.15753865242004,2.90924453735352,4.61360263824463,86.0267028808594,0,33,18,26
"2020-02-06 08:04:00",2.15622353553772,2.89530467987061,4.6122875213623,86.734733581543,0,33,18,26
"2020-02-06 08:05:00",2.15832757949829,2.89267468452454,4.6128134727478,84.1468048095703,0,33,18,26
"2020-02-06 08:06:00",2.16016864776611,2.90188002586365,4.60229301452637,88.175163269043,0,33,18,26
"2020-02-06 08:07:00",2.1549084186554,2.89530467987061,4.60492277145386,84.0393676757813,0,33,18,26
"2020-02-06 08:08:00",2.15964269638062,2.89872407913208,4.63069915771484,81.7053604125977,0,33,18,26
"2020-02-06 08:09:00",2.15753865242004,2.90135407447815,4.61544370651245,84.0979766845703,0,33,18,26
"2020-02-06 08:10:00",2.15622353553772,2.90529942512512,4.60571193695068,83.5999145507813,0,33,18,26
"2020-02-06 08:11:00",2.15832757949829,2.90188002586365,4.62280797958374,87.369499206543,0,33,18,26
"2020-02-06 08:12:00",2.16016864776611,2.89872407913208,4.61886262893677,85.3675079345703,0,33,18,26
"2020-02-06 08:13:00",2.15753865242004,2.90792942047119,4.62675333023071,85.8557891845703,0,33,18,26
"2020-02-06 08:14:00",2.15832757949829,2.89793491363525,4.62991046905518,86.1487731933594,0,33,18,26
"2020-02-06 08:15:00",2.15753865242004,2.90003895759583,4.63385534286499,87.784538269043,0,33,18,26
"2020-02-06 08:16:00",2.15832757949829,2.88872933387756,4.60834217071533,83.5364379882813,0,33,18,26
"2020-02-06 08:17:00",2.15753865242004,2.91055965423584,4.62991046905518,88.028678894043,0,33,18,26
"2020-02-06 08:18:00",2.15964269638062,2.89925003051758,4.60834217071533,84.5032501220703,0,33,18,26
"2020-02-06 08:19:00",2.15701246261597,2.90135407447815,4.60571193695068,84.6106719970703,0,33,18,26
"2020-02-06 08:20:00",2.15753865242004,2.89925003051758,4.6122875213623,83.9417114257813,0,33,18,26
"2020-02-06 08:21:00",2.15622353553772,2.90714049339294,4.61675834655762,81.7200088500977,0,33,18,26
"2020-02-06 08:22:00",2.15622353553772,2.9039843082428,4.61412858963013,84.6350860595703,0,33,18,26
"2020-02-06 08:23:00",2.16095781326294,2.9005651473999,4.61623239517212,85.6604766845703,0,33,18,26
"2020-02-06 08:24:00",2.16411399841309,2.90003895759583,4.61097240447998,85.9534606933594,0,33,18,26
"2020-02-06 08:25:00",2.16095781326294,2.90135407447815,4.62412309646606,85.6018829345703,0,33,18,26
"2020-02-06 08:26:00",2.16095781326294,2.89346361160278,4.61675834655762,83.5510864257813,0,33,18,26
"2020-02-06 08:27:00",2.16279888153076,2.90319514274597,4.60965728759766,84.9182891845703,0,33,18,26
"2020-02-06 08:28:00",2.15832757949829,2.89530467987061,4.61886262893677,87.530632019043,0,33,18,26
"2020-02-06 08:29:00",2.15753865242004,2.9005651473999,4.61754751205444,83.7463989257813,0,33,18,26
"2020-02-06 08:30:00",2.16227293014526,2.89740896224976,4.61886262893677,85.9681091308594,0,33,18,26
"2020-02-06 08:31:00",2.16016864776611,2.88951849937439,4.60229301452637,85.9534606933594,0,33,18,26
"2020-02-06 08:32:00",2.15832757949829,2.89083361625671,4.60229301452637,83.3069229125977,0,33,18,26
"2020-02-06 08:33:00",2.15832757949829,2.9005651473999,4.60965728759766,85.5286407470703,0,33,18,26
"2020-02-06 08:34:00",2.16148376464844,2.90135407447815,4.62280797958374,87.467155456543,0,33,18,26
"2020-02-06 08:35:00",2.15753865242004,2.9005651473999,4.6312255859375,85.2600860595703,0,33,18,26
"2020-02-06 08:36:00",2.15964269638062,2.89135956764221,4.58861589431763,84.0735626220703,0,33,18,26
"2020-02-06 08:37:00",2.16148376464844,2.90003895759583,4.61544370651245,88.9466705322266,0,33,18,26
"2020-02-06 08:38:00",2.15832757949829,2.88951849937439,4.62333393096924,87.979850769043,0,33,18,26
"2020-02-06 08:39:00",2.15964269638062,2.89925003051758,4.62333393096924,86.749382019043,0,33,18,26
"2020-02-06 08:40:00",2.1549084186554,2.90582537651062,4.62149286270142,84.2835235595703,0,33,18,26
"2020-02-06 08:41:00",2.15832757949829,2.90319514274597,4.61097240447998,81.6467666625977,0,33,18,26
"2020-02-06 08:42:00",2.15964269638062,2.90529942512512,4.62333393096924,85.4651641845703,0,33,18,26
"2020-02-06 08:43:00",2.16095781326294,2.90188002586365,4.61754751205444,85.6507110595703,0,33,18,26
"2020-02-06 08:44:00",2.15832757949829,2.89135956764221,4.60623788833618,83.7073364257813,0,33,18,26
"2020-02-06 08:45:00",2.16358780860901,2.90135407447815,4.61360263824463,80.875244140625,0,33,18,26
"2020-02-06 08:46:00",2.16095781326294,2.9039843082428,4.62017774581909,86.2708435058594,0,33,18,26
"2020-02-06 08:47:00",2.15832757949829,2.89530467987061,4.61886262893677,83.8196411132813,0,33,18,26
