"LNGS Time","PUR_TE276_TFILTEROUTLET.PI","PUR_TE274_TPURITYMONITOR.PI","PUR_TE281_TFEOUTLET.PI","PUR_DPT288_FLOW_A.PI","PUR_TE278_TFILTEROUTLET.PI","PUR_LXEELIFETIME.PI"
"2020-01-28 14:05:05",18.5824432373047,18.0575408935547,18.2345428466797,0.0814796611666679,18.0636444091797,-1
"2020-01-28 15:05:05",18.3077850341797,17.8438873291016,18.2711639404297,0.0620875656604767,17.8621978759766,-1
"2020-01-28 16:05:05",18.1735076904297,17.6180572509766,18.2467498779297,0.0840669646859169,17.8805084228516,-1
"2020-01-28 17:05:05",18.2467498779297,17.4898834228516,18.2772674560547,0.0774367973208427,17.9904022216797,-1
"2020-01-28 18:05:05",18.2894744873047,17.4166412353516,18.3383026123047,0.0840669646859169,18.0270233154297,-1
"2020-01-28 19:05:05",18.3810272216797,17.3739166259766,18.3749237060547,0.0840669646859169,18.2894744873047,-1
"2020-01-28 20:05:05",18.6678924560547,17.4898834228516,18.3383026123047,0.0814796611666679,18.6800994873047,-1
"2020-01-28 21:05:05",18.8998260498047,17.6546783447266,18.2894744873047,0.0774367973208427,18.8265838623047,-1
"2020-01-28 22:05:05",19.0585174560547,17.8255767822266,18.2467498779297,0.0878050774335861,18.9059295654297,-1
"2020-01-28 23:05:05",19.1561737060547,17.9781951904297,18.2284393310547,0.0814796611666679,18.9730682373047,-1
"2020-01-29 00:05:05",19.2172088623047,18.1063690185547,18.2040252685547,0.0814796611666679,18.9974822998047,-1
"2020-01-29 01:05:05",19.2782440185547,18.2101287841797,18.2101287841797,0.0814796611666679,19.0402069091797,-1
"2020-01-29 02:05:05",19.3209686279297,18.3199920654297,18.2345428466797,0.0814796611666679,19.0768280029297,-1
"2020-01-29 03:05:05",19.3392791748047,18.4115447998047,18.2223358154297,0.0902111455798149,19.1073455810547,-1
"2020-01-29 04:05:05",19.3697967529297,18.4786834716797,18.2284393310547,0.0814796611666679,19.1012420654297,-1
"2020-01-29 05:05:05",19.3636932373047,18.5397186279297,18.2284393310547,0.0840669646859169,19.1195526123047,-1
"2020-01-29 06:05:05",19.3697967529297,18.5885467529297,18.2467498779297,0.0774367973208427,19.1256561279297,-1
"2020-01-29 07:05:05",19.3820037841797,18.6251678466797,18.2284393310547,0.0878050774335861,19.1378631591797,-1
"2020-01-29 08:05:05",19.3881072998047,18.6678924560547,18.2345428466797,0.0902111455798149,19.1378631591797,-1
"2020-01-29 09:05:05",19.3881072998047,18.6923065185547,18.2345428466797,0.0878050774335861,19.1378631591797,-1
"2020-01-29 10:05:05",19.1012420654297,18.6129608154297,18.3138885498047,0.0878050774335861,18.6434783935547,-1
"2020-01-29 11:05:05",18.9242401123047,18.6739959716797,18.3444061279297,0.0902111455798149,18.4176483154297,0
"2020-01-29 12:05:05",18.8632049560547,18.6495819091797,18.3444061279297,0.0774367973208427,18.3321990966797,-1
"2020-01-29 13:05:05",18.6495819091797,18.6495819091797,18.2711639404297,0.0814796611666679,18.1857147216797,-1
"2020-01-29 14:05:05",16.8978424072266,-81.2359771728516,-82.5421600341797,0.882436752319336,17.9965057373047,-1
"2020-01-29 15:05:05",17.3433990478516,-88.5542068481445,-91.1848678588867,0.255995243787766,17.9965057373047,-1
"2020-01-29 16:05:05",17.6424713134766,-84.0009231567383,-85.8930358886719,0.248351961374283,18.0331268310547,-1
"2020-01-29 17:05:05",17.8683013916016,-90.0434875488281,-90.6782608032227,0.199584648013115,18.0636444091797,-1
"2020-01-29 18:05:05",18.7289276123047,-89.4209136962891,-71.976806640625,0.101388573646545,18.0880584716797,-1
"2020-01-29 19:05:05",18.7411346435547,-78.9471282958984,-57.0962066650391,0.0814796611666679,18.1490936279297,-1
"2020-01-29 20:05:05",18.8021697998047,-72.3125076293945,-44.5410919189453,0.0814796611666679,18.3138885498047,-1
"2020-01-29 21:05:05",19.2782440185547,-64.7867584228516,-33.6217346191406,0.0878050774335861,18.6862030029297,-1
"2020-01-29 22:05:05",19.6139526367188,-57.6455383300781,-24.179443359375,0.0814796611666679,18.8876190185547,-1
"2020-01-29 23:05:05",19.8214721679688,-51.0780487060547,-16.0799560546875,0.0814796611666679,18.9974822998047,-1
"2020-01-30 00:05:05",19.9496459960938,-45.0782012939453,-9.26222229003906,0.0774367973208427,19.1195526123047,-1
"2020-01-30 01:05:05",20.0595092773438,-39.57275390625,-3.64691162109375,0.0878050774335861,19.1683807373047,-1
"2020-01-30 02:05:05",20.1327514648438,-34.4823303222656,0.949127197265625,0.0701830610632896,19.2294158935547,-1
"2020-01-30 03:05:05",20.1998901367188,-29.7459411621094,4.66621398925781,0.0774367973208427,19.2965545654297,-1
"2020-01-30 04:05:05",20.2365112304688,-25.3269195556641,7.62646484375,0.0878050774335861,19.3148651123047,-1
"2020-01-30 05:05:05",20.2792358398438,-21.2741241455078,9.95802307128906,0.0774367973208427,19.3453826904297,-1
"2020-01-30 06:05:05",20.3036499023438,-17.5631256103516,11.8013305664063,0.0774367973208427,19.3759002685547,-1
"2020-01-30 07:05:05",20.3341674804688,-14.1451110839844,13.2478637695313,0.0774367973208427,19.3881072998047,-1
"2020-01-30 08:05:05",20.3707885742188,-11.0017547607422,14.3892517089844,0.0774367973208427,19.4308319091797,-1
"2020-01-30 09:05:05",20.4013061523438,-8.11474609375,15.2803955078125,0.0814796611666679,19.4491424560547,-1
"2020-01-30 10:05:05",19.5407104492188,2.24917602539063,11.4412078857422,1.93914008140564,18.9547576904297,-1
