time UTC,venturi_dp,venturi_flow,pt286,pt274,pt273,fv284,fv283,fv275,fv282,fv277,fv278,fv279,fv280
2020-11-06 07:43:00+00:00,85.04035949707031,1.9222272065512143,4.489166973876953,1.9847356081008911,4.51561894454956,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:44:40+00:00,85.67512512207031,1.9294573629858693,4.495742081451416,1.9852616786956787,4.526139402770996,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:46:20+00:00,85.97787475585938,1.9328963315731433,4.49258589630127,1.9852616786956787,4.52535023727417,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:48:00+00:00,83.78057861328125,1.9077975945155414,4.489166973876953,1.9839465618133545,4.52745451965332,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:49:40+00:00,85.90461730957031,1.932064747613339,4.4899561393737795,1.9847356081008911,4.524035120391845,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:51:20+00:00,85.11360168457031,1.9230628292312284,4.491271256256104,1.9852616786956787,4.520089769744873,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:53:00+00:00,85.80696105957031,1.930955648418337,4.495742081451416,1.9839465618133545,4.529295587921142,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:54:40+00:00,86.05111694335938,1.9337273882658061,4.493112324523926,1.9847356081008911,4.5187746528625485,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:56:20+00:00,86.62731170654297,1.940252998039995,4.49705719833374,1.9826315641403198,4.524035120391845,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:58:00+00:00,84.84504699707031,1.919997118680373,4.489166973876953,1.9826315641403198,4.519563818359375,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 07:59:40+00:00,86.74938201904297,1.9416326992290918,4.49442744140625,1.9852616786956787,4.526665354156494,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:01:20+00:00,84.60090637207031,1.9172058964681187,4.483380554962158,1.9826315641403198,4.519563818359375,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:03:00+00:00,85.72395324707031,1.9300124178250055,4.498372315216065,1.9847356081008911,4.5313993934631345,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:04:40+00:00,84.50325012207031,1.9160882801674657,4.486010788726807,1.986576795578003,4.516144895935058,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:06:20+00:00,84.95246887207031,1.921223984240157,4.495742081451416,1.9852616786956787,4.526665354156494,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:08:00+00:00,84.82063293457031,1.9197181773117475,4.491797207641602,1.9847356081008911,4.523509169006347,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:09:40+00:00,85.85578918457031,1.9315102768547112,4.497846363830567,1.9813164472579956,4.527980471038818,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:11:20+00:00,83.64874267578125,1.9062812855992801,4.4899561393737795,1.986576795578003,4.520878935241699,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:13:00+00:00,84.90364074707031,1.9206664142845478,4.495216130065918,1.986576795578003,4.52535023727417,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:14:40+00:00,85.02571105957031,1.922060038843353,4.49442744140625,1.9813164472579956,4.522194052124023,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:16:20+00:00,100.81207275390625,2.0945561973530227,4.608840225982666,1.9826315641403198,4.655544424438476,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:18:00+00:00,140.22674560546875,2.473658580694948,4.577277897644043,1.986576795578003,4.658963346862793,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:19:40+00:00,145.32936096191406,2.518599570047144,4.583853005218506,1.9860507249832153,4.66869511642456,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:21:20+00:00,140.34881591796875,2.4747431645100524,4.564127205657959,1.9847356081008911,4.647127771759033,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:23:00+00:00,104.06898498535156,2.1284205100127536,4.511523960876465,1.9847356081008911,4.560331011199951,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:24:40+00:00,83.53643798828125,1.9049886723888658,4.483906506347656,1.9860507249832153,4.5187746528625485,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-06 08:26:20+00:00,86.28549194335938,1.9363843959271676,4.4904820907592775,1.9852616786956787,4.520878935241699,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 08:28:00+00:00,82.33036041259766,1.8910517209217428,4.4768054473876955,1.9852616786956787,4.507728243255615,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 08:29:40+00:00,69.78134155273438,1.739498100055179,4.4465577590942384,1.9847356081008911,4.466960096740722,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 08:31:20+00:00,47.15892791748047,1.426690203774854,4.458919285583496,1.9839465618133545,4.458279753112793,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
