time UTC,venturi_dp,venturi_flow,pt286,pt274,pt273,fv284,fv283,fv275,fv282,fv277,fv278,fv279,fv280
2020-01-30 10:30:00+00:00,320.0,3.7463502971547733,3.7377240646362306,0.0,0.8754458073616028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:31:40+00:00,25.210342407226562,1.0381424125491538,4.1104209411621095,0.0007890426786616445,0.8733417037963868,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:33:20+00:00,45.97726821899414,1.4084682493969423,4.1104209411621095,0.002893156372010708,0.8746567610740662,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:35:00+00:00,49.883575439453125,1.4678550663744978,4.086222885894776,0.0021041138097643852,0.8767608646392823,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:36:40+00:00,52.00762939453125,1.4991718414404733,4.098584412384033,0.002893156372010708,0.8754458073616028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:38:20+00:00,51.25078201293945,1.4880876195797348,4.102003811645508,0.0042082276195287704,0.8759718779563904,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:40:00+00:00,53.13069152832031,1.5154718098033721,4.0993735778808595,0.0021041138097643852,0.8715006355285645,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:41:40+00:00,66.17776489257812,1.6935007778724582,4.071757077026367,0.0,0.8733417037963868,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:43:20+00:00,70.88975524902344,1.7534062213459738,4.0788586128234865,0.0021041138097643852,0.8759718779563904,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:45:00+00:00,70.7676773071289,1.751879768541735,4.092798470306397,0.00473425630480051,0.8767608646392823,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:46:40+00:00,72.39368438720703,1.7721044926762655,4.131462334442139,0.0021041138097643852,0.8720266465187073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:48:20+00:00,69.78134155273438,1.739498100055179,4.141982792663574,0.0021041138097643852,0.8754458073616028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:50:00+00:00,68.91218566894531,1.7285146947505114,4.157237767028809,0.002893156372010708,0.8767608646392823,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-01-30 10:51:40+00:00,67.83794403076172,1.7148435021347455,4.165128468322754,0.0007890426786616445,0.8754458073616028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
