"LNGS Time","PUR_TE281_TFEOUTLET.PI","PUR_TE274_TPURITYMONITOR.PI","PUR_DPT288_PMON_A.PI","PUR_TE278_TFILTEROUTLET.PI"
"2020-12-01 02:01:45",-97.7035140991211,-97.6729965209961,207.576416015625,18.2955780029297
"2020-12-01 02:18:25",-97.7096176147461,-97.6485824584961,204.500198364258,18.3077850341797
"2020-12-01 02:35:05",-97.7645492553711,-97.6607894897461,212.884094238281,18.3321990966797
"2020-12-01 02:51:45",-97.7462387084961,-97.7096176147461,208.894790649414,18.3627166748047
"2020-12-01 03:08:25",-97.7218246459961,-97.6119613647461,206.843963623047,18.3810272216797
"2020-12-01 03:25:05",-97.7340316772461,-97.7401351928711,209.783477783203,18.3932342529297
"2020-12-01 03:41:45",-97.7279281616211,-97.6607894897461,209.368423461914,18.4115447998047
"2020-12-01 03:58:25",-97.7096176147461,-97.6668930053711,208.675064086914,18.4237518310547
"2020-12-01 04:15:05",-97.7218246459961,-97.6852035522461,210.286407470703,18.4420623779297
"2020-12-01 04:31:45",-97.7096176147461,-97.6668930053711,209.856719970703,18.4420623779297
"2020-12-01 04:48:25",-97.6974105834961,-97.5936508178711,213.982757568359,18.4603729248047
"2020-12-01 05:05:05",-97.7218246459961,-97.7889633178711,209.685821533203,18.4847869873047
"2020-12-01 05:21:45",-97.7340316772461,-97.7401351928711,209.334243774414,18.4847869873047
"2020-12-01 05:38:25",-97.7035140991211,-97.7645492553711,211.702438354492,18.5153045654297
"2020-12-01 05:55:05",-97.7523422241211,-97.5936508178711,211.468063354492,18.5336151123047
"2020-12-01 06:11:45",-97.7340316772461,-97.6974105834961,209.490509033203,18.5397186279297
"2020-12-01 06:28:25",-97.7462387084961,-97.6913070678711,214.837265014648,18.5580291748047
"2020-12-01 06:45:05",-97.7645492553711,-97.6485824584961,208.455337524414,18.5763397216797
"2020-12-01 07:01:45",-97.6607894897461,-97.7462387084961,210.139923095703,18.5763397216797
"2020-12-01 07:18:25",-97.7645492553711,-97.7401351928711,208.733657836914,18.6007537841797
"2020-12-01 07:35:05",-97.6607894897461,-97.6180648803711,208.162368774414,18.6007537841797
"2020-12-01 07:51:45",-97.6974105834961,-97.6668930053711,204.060729980469,18.6190643310547
"2020-12-01 08:08:25",-97.7096176147461,-97.5509262084961,207.234619140625,18.6373748779297
"2020-12-01 08:25:05",-97.7279281616211,-97.6241683959961,209.563751220703,18.6434783935547
"2020-12-01 08:41:45",-97.7218246459961,-97.6180648803711,211.067672729492,18.6617889404297
"2020-12-01 08:58:25",-97.7584457397461,-97.6485824584961,212.019836425781,18.6678924560547
"2020-12-01 09:15:05",-97.6974105834961,-97.6119613647461,207.439697265625,18.6800994873047
"2020-12-01 09:31:45",-97.7462387084961,-97.7584457397461,206.843963623047,18.6862030029297
"2020-12-01 09:48:25",-97.7828598022461,-97.6913070678711,208.733657836914,18.6800994873047
"2020-12-01 10:05:05",-97.6729965209961,-97.6485824584961,194.768600463867,19.2111053466797
"2020-12-01 10:21:45",-97.6302719116211,-97.6852035522461,195.857482910156,18.8326873779297
"2020-12-01 10:38:25",-97.6852035522461,-97.6607894897461,193.879913330078,18.7899627685547
"2020-12-01 10:55:05",-97.4715805053711,-97.7218246459961,196.794982910156,13.7422790527344
"2020-12-01 11:11:45",-97.6546859741211,-97.5509262084961,189.192337036133,9.92750549316406
"2020-12-01 11:28:25",-97.6607894897461,-97.6424789428711,187.703063964844,-5.91744995117188
"2020-12-01 11:45:05",-97.6974105834961,-97.6668930053711,198.298934936523,-15.9212646484375
"2020-12-01 12:01:45",-97.6607894897461,-97.6852035522461,211.809860229492,-20.6759643554688
"2020-12-01 12:18:25",-97.6791000366211,-97.7645492553711,199.153427124023,-24.14892578125
"2020-12-01 12:35:05",-97.6974105834961,-97.7645492553711,196.233459472656,-26.4622039794922
"2020-12-01 12:51:45",-97.6729965209961,-97.6913070678711,200.545043945313,-9.71388244628906
"2020-12-01 13:08:25",-97.7096176147461,-97.8316879272461,200.618286132813,-3.04875183105469
"2020-12-01 13:25:05",-97.7035140991211,-97.7218246459961,200.066528320313,0.4608154296875
"2020-12-01 13:41:45",-97.7035140991211,-97.8072738647461,193.635772705078,2.67643737792969
"2020-12-01 13:58:25",-97.6546859741211,-97.6913070678711,195.833068847656,4.17793273925781
"2020-12-01 14:15:05",-97.6791000366211,-97.8805160522461,198.504013061523,4.87983703613281
"2020-12-01 14:31:45",-97.7218246459961,-97.8011703491211,196.770568847656,4.37324523925781
"2020-12-01 14:48:25",-97.6852035522461,-97.8316879272461,197.639739990234,2.16983032226563
"2020-12-01 15:05:05",-97.7096176147461,-97.6485824584961,195.891662597656,-2.00503540039063
"2020-12-01 15:21:45",-97.7035140991211,-97.6607894897461,197.297943115234,-8.55421447753906
"2020-12-01 15:38:25",-97.7218246459961,-97.6913070678711,194.915084838867,-22.5986175537109
"2020-12-01 15:55:05",-97.5631332397461,-97.7767562866211,80.435791015625,-81.6571350097656
"2020-12-01 16:11:45",-91.2825241088867,-97.3067855834961,50.4060363769531,-96.7452545166016
"2020-12-01 16:28:25",-94.6883316040039,-97.1847076416016,50.9089851379395,-98.9486541748047
"2020-12-01 16:45:05",-95.494010925293,-97.1908111572266,51.7244262695313,-99.5345916748047
"2020-12-01 17:01:45",-95.7686767578125,-97.1358795166016,51.2996101379395,-99.7482299804688
"2020-12-01 17:18:25",-95.7930908203125,-97.1175689697266,51.7000007629395,-99.7665405273438
"2020-12-01 17:35:05",-95.8724365234375,-97.1419830322266,52.1394729614258,-99.7848510742188
"2020-12-01 17:51:45",-95.683219909668,-97.0870513916016,51.2263679504395,-99.8092651367188
"2020-12-01 18:08:25",-95.8358154296875,-97.1114654541016,52.3006057739258,-99.8092651367188
"2020-12-01 18:25:05",-95.7747802734375,-97.1297760009766,52.1150588989258,-99.8275756835938
"2020-12-01 18:41:45",-95.194938659668,-97.1053619384766,51.0164070129395,-99.8397827148438
"2020-12-01 18:58:25",-95.9273681640625,-97.0687408447266,51.5779304504395,-99.8336791992188
"2020-12-01 19:15:05",-95.7686767578125,-97.0443267822266,51.8464965820313,-99.8519897460938
"2020-12-01 19:31:45",-95.8907470703125,-97.0565338134766,51.1384773254395,-99.8397827148438
"2020-12-01 19:48:25",-95.8602294921875,-97.0382232666016,51.4314460754395,-99.8519897460938
"2020-12-01 20:05:05",-95.8663330078125,-97.0199127197266,50.8113288879395,-99.8519897460938
"2020-12-01 20:21:45",-95.8724365234375,-97.0382232666016,50.6404190063477,-99.8580932617188
"2020-12-01 20:38:25",-95.8114013671875,-97.0199127197266,51.9197387695313,-99.8641967773438
"2020-12-01 20:55:05",-95.7686767578125,-97.0077056884766,52.3347854614258,-99.8764038085938
"2020-12-01 21:11:45",-95.7381591796875,-97.0016021728516,51.4216804504395,-99.8641967773438
"2020-12-01 21:28:25",-95.9517822265625,-97.0321197509766,51.2117195129395,-99.8519897460938
"2020-12-01 21:45:05",-96.0250244140625,-97.0321197509766,51.5437507629395,-99.8519897460938
"2020-12-01 22:01:45",-96.0372314453125,-97.0077056884766,52.4226760864258,-99.8641967773438
"2020-12-01 22:18:25",-96.0372314453125,-97.0077056884766,51.5046882629395,-99.8641967773438
"2020-12-01 22:35:05",-96.0250244140625,-97.0077056884766,52.0320510864258,-99.8641967773438
"2020-12-01 22:51:45",-96.0006103515625,-96.9710845947266,50.3083801269531,-99.8336791992188
"2020-12-01 23:08:25",-96.0128173828125,-97.0016021728516,50.5769424438477,-99.8397827148438
"2020-12-01 23:25:05",-96.0189208984375,-97.0016021728516,52.0418167114258,-99.8519897460938
"2020-12-01 23:41:45",-96.0128173828125,-96.9649810791016,51.7000007629395,-99.8336791992188
"2020-12-01 23:58:25",-96.0128173828125,-97.0016021728516,52.2029495239258,-99.8580932617188
"2020-12-02 00:15:05",-96.0189208984375,-96.9710845947266,51.8611450195313,-99.8580932617188
"2020-12-02 00:31:45",-96.0189208984375,-97.0016021728516,50.7624893188477,-99.8580932617188
"2020-12-02 00:48:25",-96.0250244140625,-97.0016021728516,53.1160430908203,-99.8519897460938
"2020-12-02 01:05:05",-96.0189208984375,-96.9710845947266,51.6023445129395,-99.8641967773438
"2020-12-02 01:21:45",-96.0128173828125,-96.9710845947266,50.9089851379395,-99.8519897460938
"2020-12-02 01:38:25",-96.0006103515625,-96.9710845947266,51.4314460754395,-99.8275756835938
"2020-12-02 01:55:05",-96.0006103515625,-97.0016021728516,51.0652351379395,-99.8519897460938
"2020-12-02 02:11:45",-96.0006103515625,-97.0016021728516,51.8123168945313,-99.8397827148438
"2020-12-02 02:28:25",-96.0006103515625,-96.9649810791016,51.0896492004395,-99.8397827148438
"2020-12-02 02:45:05",-96.0006103515625,-97.0016021728516,51.1140632629395,-99.8275756835938
"2020-12-02 03:01:45",-96.0006103515625,-96.9649810791016,51.0310554504395,-99.8519897460938
"2020-12-02 03:18:25",-96.0006103515625,-96.9466705322266,52.0173950195313,-99.8397827148438
"2020-12-02 03:35:05",-96.0006103515625,-96.9649810791016,51.3484382629395,-99.8275756835938
"2020-12-02 03:51:45",-96.0006103515625,-96.9466705322266,51.1775398254395,-99.8397827148438
"2020-12-02 04:08:25",-95.9456787109375,-96.9283599853516,51.2996101379395,-99.8092651367188
"2020-12-02 04:25:05",-95.9700927734375,-96.9466705322266,51.7000007629395,-99.8275756835938
"2020-12-02 04:41:45",-95.9700927734375,-96.9344635009766,50.9089851379395,-99.8275756835938
"2020-12-02 04:58:25",-95.9639892578125,-96.9405670166016,51.6414070129395,-99.8275756835938
"2020-12-02 05:15:05",-96.0006103515625,-96.9649810791016,51.1873054504395,-99.8336791992188
"2020-12-02 05:31:45",-96.0006103515625,-96.9588775634766,51.0896492004395,-99.8336791992188
"2020-12-02 05:48:25",-95.9517822265625,-96.9405670166016,52.3347854614258,-99.8275756835938
"2020-12-02 06:05:05",-95.9700927734375,-96.9405670166016,51.0896492004395,-99.8153686523438
"2020-12-02 06:21:45",-95.9517822265625,-96.9283599853516,51.5046882629395,-99.8092651367188
"2020-12-02 06:38:25",-95.9639892578125,-96.9344635009766,51.3240242004395,-99.8153686523438
"2020-12-02 06:55:05",-96.0006103515625,-96.9344635009766,51.2019538879395,-99.8275756835938
"2020-12-02 07:11:45",-95.9700927734375,-96.9344635009766,51.1873054504395,-99.8153686523438
"2020-12-02 07:28:25",-95.9517822265625,-96.9344635009766,51.9099731445313,-99.8092651367188
"2020-12-02 07:45:05",-95.9639892578125,-96.9344635009766,51.4070320129395,-99.8153686523438
"2020-12-02 08:01:45",-95.9639892578125,-96.9405670166016,51.1873054504395,-99.8153686523438
"2020-12-02 08:18:25",-96.0006103515625,-96.9405670166016,51.9929809570313,-99.8336791992188
"2020-12-02 08:35:05",-96.0006103515625,-96.9405670166016,51.5535163879395,-99.8336791992188
"2020-12-02 08:51:45",-95.9700927734375,-96.9405670166016,51.6267585754395,-99.8275756835938
"2020-12-02 09:08:25",-95.9395751953125,-96.9344635009766,50.9333992004395,-99.8092651367188
"2020-12-02 09:25:05",-95.9456787109375,-96.9405670166016,50.9431648254395,-99.8092651367188
"2020-12-02 09:41:45",-95.9700927734375,-96.9039459228516,50.9089851379395,-99.8275756835938
"2020-12-02 09:58:25",-95.9456787109375,-96.9649810791016,51.6902351379395,-99.8031616210938
"2020-12-02 10:15:05",-95.9700927734375,-96.9405670166016,51.3093757629395,-99.8336791992188
"2020-12-02 10:31:45",-95.9639892578125,-96.9283599853516,51.6902351379395,-99.8275756835938
"2020-12-02 10:48:25",-95.9456787109375,-96.9344635009766,50.8113288879395,-99.8031616210938
"2020-12-02 11:05:05",-95.9517822265625,-96.9405670166016,51.3728523254395,-99.8153686523438
"2020-12-02 11:21:45",-95.9639892578125,-96.9283599853516,50.8210945129395,-99.8092651367188
"2020-12-02 11:38:25",-95.9456787109375,-96.9344635009766,50.7869148254395,-99.8153686523438
"2020-12-02 11:55:05",-95.9395751953125,-96.8856353759766,51.1873054504395,-99.8092651367188
"2020-12-02 12:11:45",-95.9273681640625,-96.9466705322266,51.0798835754395,-99.7848510742188
"2020-12-02 12:28:25",-95.9395751953125,-96.9649810791016,50.4206848144531,-99.7909545898438
"2020-12-02 12:45:05",-95.9456787109375,-96.9405670166016,51.4070320129395,-99.8031616210938
"2020-12-02 13:01:45",-95.9151611328125,-96.9466705322266,52.4812698364258,-99.7726440429688
"2020-12-02 13:18:25",-95.9456787109375,-96.9405670166016,51.1873054504395,-99.8031616210938
"2020-12-02 13:35:05",-95.9395751953125,-96.9649810791016,51.5437507629395,-99.7848510742188
"2020-12-02 13:51:45",-95.9212646484375,-96.9588775634766,51.8953247070313,-99.7421264648438
"2020-12-02 14:08:25",-95.9212646484375,-96.9649810791016,50.8845710754395,-99.7665405273438
"2020-12-02 14:25:05",-95.9273681640625,-96.9710845947266,51.6267585754395,-99.7665405273438
"2020-12-02 14:41:45",-95.9212646484375,-96.9649810791016,51.8855590820313,-99.7726440429688
"2020-12-02 14:58:25",-95.9395751953125,-96.9405670166016,51.4949226379395,-99.7848510742188
"2020-12-02 15:15:05",-95.9395751953125,-96.9588775634766,52.1541213989258,-99.7909545898438
"2020-12-02 15:31:45",-95.9517822265625,-96.9588775634766,51.3972663879395,-99.7909545898438
"2020-12-02 15:48:25",-95.9273681640625,-96.9405670166016,52.1297073364258,-99.7726440429688
"2020-12-02 16:05:05",-95.9212646484375,-96.9039459228516,51.4705085754395,-99.7665405273438
"2020-12-02 16:21:45",-95.9273681640625,-96.9161529541016,51.3240242004395,-99.7848510742188
"2020-12-02 16:38:25",-95.9212646484375,-96.9161529541016,51.6267585754395,-99.7726440429688
"2020-12-02 16:55:05",-95.9273681640625,-96.9100494384766,51.3093757629395,-99.7604370117188
"2020-12-02 17:11:45",-95.9212646484375,-96.9161529541016,50.7234268188477,-99.7726440429688
"2020-12-02 17:28:25",-95.9090576171875,-96.9100494384766,51.7488403320313,-99.7604370117188
"2020-12-02 17:45:05",-95.9151611328125,-96.9100494384766,51.6169929504395,-99.7604370117188
"2020-12-02 18:01:45",-95.9273681640625,-96.9283599853516,52.2371292114258,-99.7848510742188
"2020-12-02 18:18:25",-95.9273681640625,-96.8917388916016,51.1775398254395,-99.7665405273438
"2020-12-02 18:35:05",-95.9273681640625,-96.9161529541016,50.9919929504395,-99.7848510742188
"2020-12-02 18:51:45",-95.9090576171875,-96.8917388916016,51.7732543945313,-99.7665405273438
"2020-12-02 19:08:25",-95.9212646484375,-96.9100494384766,51.5291023254395,-99.7604370117188
"2020-12-02 19:25:05",-95.8968505859375,-96.9161529541016,51.5779304504395,-99.7421264648438
"2020-12-02 19:41:45",-95.9151611328125,-96.8856353759766,51.0310554504395,-99.7604370117188
"2020-12-02 19:58:25",-95.9151611328125,-96.8917388916016,51.3728523254395,-99.7726440429688
"2020-12-02 20:15:05",-95.9090576171875,-96.8917388916016,51.0164070129395,-99.7482299804688
"2020-12-02 20:31:45",-95.9090576171875,-96.8917388916016,52.6277542114258,-99.7726440429688
"2020-12-02 20:48:25",-95.9090576171875,-96.9039459228516,51.7879028320313,-99.7482299804688
"2020-12-02 21:05:05",-95.9151611328125,-96.9039459228516,51.7390747070313,-99.7726440429688
"2020-12-02 21:21:45",-95.9090576171875,-96.9039459228516,50.8357429504395,-99.7604370117188
"2020-12-02 21:38:25",-95.8968505859375,-96.9100494384766,50.8210945129395,-99.7604370117188
"2020-12-02 21:55:05",-95.9151611328125,-96.9039459228516,51.8220825195313,-99.7604370117188
"2020-12-02 22:11:45",-95.9090576171875,-96.8917388916016,52.1150588989258,-99.7726440429688
"2020-12-02 22:28:25",-95.9273681640625,-96.9039459228516,51.1531257629395,-99.7604370117188
"2020-12-02 22:45:05",-95.9090576171875,-96.9344635009766,51.7244262695313,-99.7604370117188
"2020-12-02 23:01:45",-95.9151611328125,-96.9039459228516,52.1150588989258,-99.7604370117188
"2020-12-02 23:18:25",-95.9151611328125,-96.8856353759766,51.8220825195313,-99.7665405273438
"2020-12-02 23:35:05",-95.9151611328125,-96.9039459228516,52.4470901489258,-99.7482299804688
"2020-12-02 23:51:45",-95.9151611328125,-96.9100494384766,51.2507820129395,-99.7604370117188
"2020-12-03 00:08:25",-95.9151611328125,-96.9039459228516,50.9187507629395,-99.7726440429688
"2020-12-03 00:25:05",-95.9212646484375,-96.9100494384766,52.0808792114258,-99.7726440429688
"2020-12-03 00:41:45",-95.9212646484375,-96.9039459228516,52.1394729614258,-99.7665405273438
"2020-12-03 00:58:25",-95.9151611328125,-96.8917388916016,51.6267585754395,-99.7604370117188
"2020-12-03 01:15:05",-95.9090576171875,-96.9039459228516,52.7888870239258,-99.7665405273438
"2020-12-03 01:31:45",-95.9212646484375,-96.9161529541016,51.5437507629395,-99.7665405273438
