,flow,eta
0,5.179382678633353,0.05714747344972615
1,5.419026557825757,0.05365564140943422
2,6.003535899818867,0.057484200293299814
3,6.136558526180759,0.059752430449475556
4,6.893607886776573,0.053805142819377226
5,7.096554802396451,0.07946440888503327
6,7.256476600683354,0.045839335004056514
7,7.278146203935211,0.0831325569538178
8,4.387075072234578,0.055980490171960814
9,4.232349940802861,0.05495950756817807
10,3.9432910158338483,0.05033403450436895
11,3.5222274751645797,0.04952041226221128
12,4.510378328420324,0.05193157950908219
13,3.54835485885636,0.04892193555956877
14,3.951299492093005,0.04806183931137544
15,4.550812935281011,0.053631228473511476
16,5.398171635137446,0.05725295885196938
17,6.582436683790687,0.06286665297914643
18,6.5024525523079015,0.06588709295051604
19,6.3488707498585715,0.06294654962972894
20,6.056342629405934,0.06418103456528372
21,5.679442801725801,0.061046390520558595
22,4.106817154718845,0.05779189840024909
23,6.081638108635723,0.05874411383985949
24,6.54225085742314,0.06605685580536633
25,6.8894920669394,0.062470624031708194
26,7.09772677989556,0.07053630454368953
27,4.391781800877849,0.06182271506799446
28,7.770041003490849,0.09222457854328639
29,7.696655748201568,0.07459811431937999
30,7.453024760229621,0.06263110483615407
31,7.036450309600328,0.08923169980703265
32,6.493382063742807,0.06792705410773885
33,4.757562537504888,0.06629997722373018
