"LNGS Time","PUR_TE281_TFEOUTLET.PI","PUR_TE274_TPURITYMONITOR.PI","PUR_DPT288_PMON_A.PI"
"2020-01-31 09:05:05",,,93.7660827636719
"2020-01-31 09:05:06",-91.5327682495117,,93.7074890136719
"2020-01-31 09:05:07",,-91.6121139526367,94.5473480224609
"2020-01-31 09:05:08",-91.5205612182617,-91.6182174682617
"2020-01-31 09:05:09",,,96.20751953125
"2020-01-31 09:05:10",,-91.6121139526367,91.0072479248047
"2020-01-31 09:05:11",-91.5022506713867,,93.3168411254883
"2020-01-31 09:05:12",-91.5205612182617,,92.8285598754883
"2020-01-31 09:05:14",,-91.6182174682617,93.8295593261719
"2020-01-31 09:05:15",-91.5083541870117,,94.0737152099609
"2020-01-31 09:05:16",,,94.6694183349609
"2020-01-31 09:05:18",-91.5144577026367,-91.6121139526367,91.3636932373047
"2020-01-31 09:05:19",,,94.2446136474609
"2020-01-31 09:05:20",-91.5083541870117,-91.6304244995117,91.7299270629883
"2020-01-31 09:05:21",-91.5022506713867,,93.9028015136719
"2020-01-31 09:05:22",-91.5144577026367,-91.6121139526367,92.3158645629883
"2020-01-31 09:05:23",-91.4900436401367,-91.6182174682617
"2020-01-31 09:05:24",-91.5022506713867,-91.6304244995117,93.2533645629883
"2020-01-31 09:05:25",,,92.0473098754883
"2020-01-31 09:05:26",-91.4900436401367,-91.6304244995117,89.9574279785156
"2020-01-31 09:05:27",,-91.6365280151367,92.5209426879883
"2020-01-31 09:05:28",-91.5022506713867
"2020-01-31 09:05:29",,,90.7875061035156
"2020-01-31 09:05:30",,,92.9506301879883
"2020-01-31 09:05:31",-91.4900436401367,-91.6304244995117,91.6908645629883
"2020-01-31 09:05:33",-91.4900436401367,-91.6365280151367,91.4369354248047
"2020-01-31 09:05:34",,-91.6548385620117
"2020-01-31 09:05:35",,-91.6426315307617,90.5677795410156
"2020-01-31 09:05:36",-91.5022506713867,-91.6548385620117,91.8519973754883
"2020-01-31 09:05:37",-91.4778366088867,,91.0072479248047
