"LNGS Time","PUR_PT275_PPUMPOUTLET.PI","PUR_PT271_PHEOUTLET.PI","PUR_PCV287SET_AO.PI","PUR_FCV286SET_AO.PI","PUR_DPT288_PMON_A.PI","PUR_P271_P271_PUB_FMON.PI"
"2020-01-31 08:00:00",4.38740730285645,2.92029118537903,13,20,92.6332473754883,38
"2020-01-31 08:00:10",4.38793325424194,2.92239570617676,13,20,94.8647308349609,38
"2020-01-31 08:00:20",4.3847770690918,2.91766095161438,13,20,94.5619964599609,38
"2020-01-31 08:00:30",4.3847770690918,2.91713500022888,13,20,89.4105529785156,38
"2020-01-31 08:00:40",4.3847770690918,2.9255518913269,13,20,90.4603576660156,38
"2020-01-31 08:00:50",4.38872194290161,2.9255518913269,13,20,93.6928405761719,38
"2020-01-31 08:01:00",4.39135217666626,2.92160677909851,13,20,93.5707702636719,38
"2020-01-31 08:01:10",4.38214683532715,2.92160677909851,13,20,94.3178558349609,38
"2020-01-31 08:01:20",4.38661813735962,2.91634583473206,13,20,93.8637390136719,38
"2020-01-31 08:01:30",4.38793325424194,2.92371082305908,13,20,93.4389343261719,38
"2020-01-31 08:01:40",4.38135766983032,2.91766095161438,13,20,91.9252395629883,38
"2020-01-31 08:01:50",4.38661813735962,2.91766095161438,13,20,93.2680130004883,38
"2020-01-31 08:02:00",4.38530302047729,2.92239570617676,13,20,91.7396926879883,38
"2020-01-31 08:02:10",4.38740730285645,2.91976499557495,13,20,91.6176223754883,38
"2020-01-31 08:02:20",4.38740730285645,2.92292189598083,13,20,93.6195983886719,38
"2020-01-31 08:02:30",4.38214683532715,2.92502593994141,13,20,93.7172546386719,38
"2020-01-31 08:02:40",4.38872194290161,2.91976499557495,13,20,92.9603958129883,38
"2020-01-31 08:02:50",4.38740730285645,2.92029118537903,13,20,92.3402786254883,38
"2020-01-31 08:03:00",4.38398790359497,2.92502593994141,13,20,94.2055511474609,38
"2020-01-31 08:03:10",4.3795166015625,2.92160677909851,13,20,93.3900833129883,38
"2020-01-31 08:03:20",4.38793325424194,2.92160677909851,13,20,92.5453567504883,38
"2020-01-31 08:03:30",4.39135217666626,2.91976499557495,13,20,93.6586608886719,38
"2020-01-31 08:03:40",4.38740730285645,2.91845011711121,13,20,94.3178558349609,38
"2020-01-31 08:03:50",4.39003705978394,2.92423677444458,13,20,90.3627014160156,38
"2020-01-31 08:04:00",4.39266729354858,2.92029118537903,13,20,93.6586608886719,38
"2020-01-31 08:04:10",4.3847770690918,2.92029118537903,13,20,90.5824279785156,38
"2020-01-31 08:04:20",4.38530302047729,2.91766095161438,13,20,94.4252777099609,38
"2020-01-31 08:04:30",4.3847770690918,2.92029118537903,13,20,93.2680130004883,38
"2020-01-31 08:04:40",4.38661813735962,2.9189760684967,13,20,93.6586608886719,38
"2020-01-31 08:04:50",4.38740730285645,2.91976499557495,13,20,92.8041458129883,38
"2020-01-31 08:05:00",4.39187812805176,2.92371082305908,13,20,92.2035598754883,38
"2020-01-31 08:05:10",4.38398790359497,2.92371082305908,13,20,92.9262161254883,38
"2020-01-31 08:05:20",4.38135766983032,2.9189760684967,13,20,94.1811370849609,38
"2020-01-31 08:05:30",4.38609218597412,2.9189760684967,13,20,92.4232864379883,38
"2020-01-31 08:05:40",4.38267278671265,2.91976499557495,13,20,89.7767639160156,38
"2020-01-31 08:05:50",4.38609218597412,2.91976499557495,13,20,93.1459426879883,38
"2020-01-31 08:06:00",4.38740730285645,2.92371082305908,13,20,94.3178558349609,38
"2020-01-31 08:06:10",4.39266729354858,2.92239570617676,13,20,93.2045364379883,38
"2020-01-31 08:06:20",4.38872194290161,2.92029118537903,13,20,93.3656692504883,38
"2020-01-31 08:06:30",4.38872194290161,2.91976499557495,13,20,90.4701232910156,38
"2020-01-31 08:06:40",4.38267278671265,2.91976499557495,13,20,92.4965286254883,38
"2020-01-31 08:06:50",4.38740730285645,2.91976499557495,13,20,91.6420364379883,38
"2020-01-31 08:07:00",4.38135766983032,2.92423677444458,13,20,90.3382873535156,38
"2020-01-31 08:07:10",4.38398790359497,2.9255518913269,13,20,93.5463562011719,38
"2020-01-31 08:07:20",4.39135217666626,2.91634583473206,13,20,96.03662109375,38
"2020-01-31 08:07:30",4.39319324493408,2.92423677444458,13,20,92.8529739379883,38
"2020-01-31 08:07:40",4.39398336410522,2.92239570617676,13,20,92.0961380004883,38
"2020-01-31 08:07:50",4.39056348800659,2.92634105682373,13,20,93.5610046386719,38
"2020-01-31 08:08:00",4.38793325424194,2.92239570617676,13,20,91.3148651123047,38
"2020-01-31 08:08:10",4.38530302047729,2.92029118537903,13,20,92.3988723754883,38
"2020-01-31 08:08:20",4.38793325424194,2.91634583473206,13,20,92.2768020629883,38
"2020-01-31 08:08:30",4.38661813735962,2.9189760684967,13,20,94.4399261474609,38
"2020-01-31 08:08:40",4.39003705978394,2.9189760684967,13,20,90.9974822998047,38
"2020-01-31 08:08:50",4.39056348800659,2.92292189598083,13,20,91.3392791748047,38
"2020-01-31 08:09:00",4.39003705978394,2.92371082305908,13,20,95.2797698974609,38
"2020-01-31 08:09:10",4.38740730285645,2.92160677909851,13,20,92.3012161254883,38
"2020-01-31 08:09:20",4.38872194290161,2.9189760684967,13,20,90.4212951660156,38
"2020-01-31 08:09:30",4.39135217666626,2.92423677444458,13,20,89.2982482910156,38
"2020-01-31 08:09:40",4.39003705978394,2.91766095161438,13,20,89.3617248535156,38
"2020-01-31 08:09:50",4.38872194290161,2.92029118537903,13,20,92.1791458129883,38
