time UTC,venturi_dp,venturi_flow,pt286,pt289,te281,venturi_deltaP
2020-10-13 10:30:00+00:00,68.74128723144531,1.7263469422263178,3.2411284801483156,3.1809531341552733,17.190811157226562,0.060175345993042306
2020-10-13 10:46:40+00:00,61.63667678833008,1.633714478406111,3.1719546672821046,3.1112533699035643,13.571380615234375,0.06070129737854035
2020-10-13 11:03:20+00:00,59.20988082885742,1.6008596191578939,3.266115939331055,3.159911979293823,-81.40077209472656,0.10620396003723176
2020-10-13 11:20:00+00:00,96.08544921875,2.04442190588839,4.616714274597168,4.128344644165039,-86.7353286743164,0.4883696304321292
2020-10-13 11:36:40+00:00,73.13587951660156,1.7812605894764062,4.6627428886413576,4.178318608856201,-92.66194152832031,0.48442427978515656
2020-10-13 11:53:20+00:00,70.83116149902344,1.7526737339392684,4.658797537994385,4.181737531280517,-93.42489624023438,0.4770600067138675
2020-10-13 12:10:00+00:00,72.86731719970703,1.7779528550644237,4.6553786155700685,4.176477540588379,-93.74227905273438,0.47890107498168977
2020-10-13 12:26:40+00:00,72.23255157470703,1.770110484926671,4.65274838180542,4.172532189941406,-93.90097045898438,0.480216191864014
2020-10-13 12:43:20+00:00,72.34485626220703,1.7715004824293725,4.673789775085449,4.179633725738525,-94.10238647460938,0.49415604934692414
2020-10-13 13:00:00+00:00,70.88975524902344,1.7534062213459738,4.668003356170654,4.1888390670776365,-94.13290405273438,0.4791642890930179
2020-10-13 13:16:40+00:00,71.35362243652344,1.7591944293304747,4.675104415130615,4.1888390670776365,-94.1878433227539,0.48626534805297883
2020-10-13 13:33:20+00:00,70.98741149902344,1.754626361384125,4.671948229980469,4.1883131156921385,-94.1573257446289,0.4836351142883304
2020-10-13 13:50:00+00:00,74.27359771728516,1.7952063440606734,4.670633589935303,4.187523950195312,-94.2000503540039,0.48310963973999055
2020-10-13 14:06:40+00:00,71.7589111328125,1.764236305392798,4.671159541320801,4.189628232574463,-94.13900756835938,0.4815313087463382
2020-10-13 14:23:20+00:00,72.50110626220703,1.7734325986974078,4.669318473052979,4.179633725738525,-94.1634292602539,0.48968474731445344
2020-10-13 14:40:00+00:00,71.06065368652344,1.755540915802616,4.664058005523682,4.179633725738525,-94.1878433227539,0.48442427978515656
2020-10-13 14:56:40+00:00,73.07728576660156,1.7805394410629574,4.673263346862793,4.18357859954834,-94.1756362915039,0.48968474731445344
2020-10-13 15:13:20+00:00,73.18470764160156,1.7818613258699945,4.671948229980469,4.1883131156921385,-94.2488784790039,0.4836351142883304
2020-10-13 15:30:00+00:00,72.51575469970703,1.773613627819891,4.677734648895264,4.1883131156921385,-94.2488784790039,0.4894215332031253
2020-10-13 15:46:40+00:00,70.5723648071289,1.7494348561352353,4.66458395690918,4.18568288192749,-94.2122573852539,0.47890107498168977
2020-10-13 16:03:20+00:00,71.9884033203125,1.767084924321212,4.677208697509766,4.192784417724609,-94.2244644165039,0.48442427978515656
2020-10-13 16:20:00+00:00,71.7833251953125,1.7645395662419436,4.675104415130615,4.187523950195312,-94.2244644165039,0.48758046493530305
2020-10-13 16:36:40+00:00,71.19737243652344,1.757246824048647,4.680364882659912,4.191469300842285,-94.2854995727539,0.48889558181762727
2020-10-13 16:53:20+00:00,70.78233337402344,1.7520630963271635,4.682469165039063,4.194888223266601,-94.1878433227539,0.48758094177246125
2020-10-13 17:10:00+00:00,70.5625991821289,1.7493125217709853,4.67852381439209,4.194099534606933,-94.2549819946289,0.48442427978515656
2020-10-13 17:26:40+00:00,71.17295837402344,1.7569423177682204,4.67852381439209,4.190943349456787,-94.2366714477539,0.48758046493530305
2020-10-13 17:43:20+00:00,73.13587951660156,1.7812605894764062,4.684310233306885,4.192784417724609,-94.3343276977539,0.4915258155822757
2020-10-13 18:00:00+00:00,72.64759063720703,1.7752420679267835,4.6890442726135255,4.19936000213623,-94.2122573852539,0.48968427047729524
2020-10-13 18:16:40+00:00,72.67200469970703,1.7755434687310803,4.682469165039063,4.2006751190185545,-94.1817398071289,0.4817940460205081
2020-10-13 18:33:20+00:00,69.29305267333984,1.7333361342585172,4.69035938949585,4.207250703430176,-94.2732925415039,0.48310868606567414
2020-10-13 18:50:00+00:00,72.36927032470703,1.7718025130206618,4.688255107116699,4.19936000213623,-94.2000503540039,0.48889510498046906
2020-10-13 19:06:40+00:00,71.64659118652344,1.7628404509381015,4.687729155731201,4.203305352783203,-94.2122573852539,0.48442380294799836
2020-10-13 19:23:20+00:00,71.58799743652344,1.7621118437601921,4.684310233306885,4.209880460357666,-94.2488784790039,0.47442977294921906
2020-10-13 19:40:00+00:00,72.39368438720703,1.7721044926762655,4.685625350189209,4.204620469665527,-94.2549819946289,0.48100488052368195
2020-10-13 19:56:40+00:00,71.52452087402344,1.7613221827899355,4.682995116424561,4.203305352783203,-94.2061538696289,0.47968976364135774
2020-10-13 20:13:20+00:00,71.13389587402344,1.756454999080042,4.689570223999024,4.205935586547851,-94.2732925415039,0.4836346374511722
2020-10-13 20:30:00+00:00,72.15930938720703,1.7692033826573283,4.691674506378174,4.205935586547851,-94.2488784790039,0.4857389198303226
2020-10-13 20:46:40+00:00,71.46592712402344,1.760592953938093,4.6890442726135255,4.207250703430176,-94.1817398071289,0.4817935691833499
2020-10-13 21:03:20+00:00,70.7188491821289,1.7512688570324466,4.689570223999024,4.207250703430176,-94.2793960571289,0.48231952056884797
2020-10-13 21:20:00+00:00,71.7833251953125,1.7645395662419436,4.689570223999024,4.209354508972168,-94.2854995727539,0.4802157150268558
